,Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date
146,UNIVINSURE,0.2,0.2,--,--,--,,0,--,--,24 Mar 23
147,UPDC [BLS],0.96,0.96,--,--,--,,4,"15,000","14,420.00",24 Mar 23
148,UPDCREIT,3.15,3.15,--,--,--,,7,"20,672","67,857.10",24 Mar 23
149,UPL,2,2,--,--,--,,3,"15,000","29,175.30",24 Mar 23
150,VANLEER,5.45,5.45,--,--,--,,0,--,--,24 Mar 23
151,VERITASKAP,0.2,0.2,--,--,--,,3,"8,500","1,740.00",24 Mar 23
152,VITAFOAM,18.6,18.6,--,--,--,,16,"19,547","354,414.20",24 Mar 23
153,WAPCO,25.95,25.95,--,--,--,,42,"464,735","11,914,915.35",24 Mar 23
154,WAPIC,0.42,0.42,0.40,0.40,0.40,-0.02,9,"203,319","80,843.16",24 Mar 23
155,WEMABANK,4,4,--,--,--,,7,"16,401","65,252.96",24 Mar 23
156,ZENITHBANK [MRF],25.1,25.1,25.05,24.80,24.95,-0.15,169,"4,003,727","99,816,484.20",24 Mar 23
